MANUFACTURER_ID,MAKER_NAME
571c3496b79c6bc20ed9a9f1a3b9381b37025135e98e77eb74820911792be37e,BAJAJ AUTO LTD
571d4c1b09d2953bd531f8e96956ff2856b3408e5744779baf2a72e4d4e1742f,M/S SRI SAI SHIVA INDUSTRIE
58943d7635e1909b184222f6cf3bfd965c79529be41deb723227f2d0808bb541,SAI SHRUTHI ENGG WORKS MOSRAA
5a3cf32f537a8eeaeef467ddb35cdba12ffc19e342d7720c258f6af5567925ef,RENAULTNISSAN AUTOMOTIVE I P L
5a48c2101630c2f7f7d89afe060a9bc4b1ee409c268c78b708b81d3622d2ced2,M/S. RAVI ENGINEERING WORKS
5a7cfcd0569c71c7cfbf3c7f33eb2becf48e841f9607b03528bd212d8c42304a,M/S. RAITHU RAJA AGRO INDUSTRIES
5add659cfce36a3273d1d59773e5877afd10bb3c23e717427800a612fa5313ee,MAHINDRA & MAHINDRA LIMITED
5b4a0de3405b848970d29886d25f9bb345d6a752a86f5d20cfdda5e2dbb22797,"TOYOTA MOTOR CORPORATION,"
5b7d50ea5d003cd65980fa8dd1dc899747faa8c66d88804a7cf01abf734ff2f4,SRI LAXMI ENGINEERING & MOTOR WORKS
5bb0e8b53d0c52af17dffbc4d9040d225253981149117374f50d3a67df770d44,STANDARD CORPORATION INDIA LTD
5d8cc0f9243befdc38e60552d94479ecf884bc10434bb83a23570f9b826d74a2,M/S. SRI BALAJI ENGG.WORKS
5db2a7ff5d8e96e27f6bec2eb5d2c783206eb4957c62a70d1a860a9c14ad853b,ROYAL ENFIELD
5e0f1c4350c17c617f70d3f623f8f83656fab20717970201d931bc5e045e87ea,KUMARASWAMY AGRO INDUSTRIES
5e6a928296f52fea9f5ad8799e98c59459751b8ca5fcdfe19c6f69ed821735b5,"PIAGGIO VEHICLES PVT. LTD.,"
5eaea37482f8efd19029106f0ba3785d34b620b98d765308cc0c05dad4d2ffc5,M/S JAYA BHAVANI ENGINEERING WORKS
5f12f5d45d68377ab79f1f0fcc41e45e764e6ca6fc5980be96a78bd65eeb3ebe,M/S SRI AYYAPPA AGRO INDUSTRIES
5f75bbd79555f845b1811508945bb7ae076d3c5e76b22194b2dd8472d7038d43,M/S VIJAYA AGRO INDUSTRIES
6020fdc34186a785afc3da509715bc1cf9c6e3ee013804617efedb9b3429992f,BMW INDIA PVT LTD
60730e39580b33b7df2011ec64f375c1659d7d768e3c5cc3ff22d9e46fe62d94,SUZUKI MOTORCYCLE (I) PVT LTD
60c9a5bfda9cb63205a8e9a43bf1620baada9302420baa1f16f0370679a337de,M/S STAR ENGINEERING WORKS
61abbe628857c2e68a116e4dd0664b3f51e111ec13a9b030f802d9d4da324be5,SRI MANIKANTA ENGINEERING WORKS
61d3117d3bfe2c8d18ed6546ec1a04fbd3b67a68aff4d24aa9b81125a442b1ab,M/S VISHAL ENGINEERING WORKS
62a97aa322a804a1b2643fbe4fed1689839939b140f00cb0abaacbd4f2562817,M/S NAVADURGA ENGG. WORKS
63894921bb45b7d5db20b60242669639cd9576335b721d9ea4280752cbc47627,FORD INDIA PRIVATE LIMITED
64c60b2dae2a284b531aac311e2b9845e723d4299b4e83cbdcba687e3df9d1c0,M/S SUN RISE ENGINEERING WORKS
654395be9caae3b4d717bc9cb2a2a6cbe694e8e007fc04b201dd33715f0c4aa1,"M/S SRI VENKATESWARA ENGINEERING WORKS,KNR"
